term,coef,se
Intercept,0.39418209352349637,0.025529523044278253
C(dow)[T.1],-0.03504285191988264,0.0170434779910954
C(dow)[T.2],-0.028299290554884355,0.017094779080133096
C(dow)[T.3],0.02618068906075208,0.017139118939376505
C(dow)[T.4],0.18317056479569518,0.01717810948361037
C(dow)[T.5],0.2899994441711882,0.017129990857280248
C(dow)[T.6],0.1399656756977401,0.017020462676066703
C(is_hol)[T.True],0.13781194403257965,0.021367056407958586
C(eve_hol)[T.True],0.1452242145463578,0.024271458617014928
C(month)[T.2],0.0674027238159098,0.021273610556841724
C(month)[T.3],0.16945665643175364,0.020775856950416557
C(month)[T.4],0.09581821203201377,0.021002390255002844
C(month)[T.5],0.08099181011949226,0.021065401294022526
C(month)[T.6],0.05014512654141788,0.021303833837109726
C(month)[T.7],0.04590392591422693,0.023998501621053804
C(month)[T.8],0.2289317551340455,0.025331264687554964
C(month)[T.9],0.0661808223309502,0.02509333498855582
C(month)[T.10],0.19601448315086514,0.020858785666079533
C(month)[T.11],0.25450528475562123,0.020961660568828165
C(month)[T.12],0.14468809374209152,0.02078671994953396
trend,-0.014141352208883741,0.00957090285807567
