term,coef,se
Intercept,-0.16111067471813423,0.03135147391909169
C(dow)[T.1],0.005024238395989146,0.012070710803601037
C(dow)[T.2],0.0012647182055741271,0.012193375072043695
C(dow)[T.3],-0.004458145252100996,0.012111101803181848
C(dow)[T.4],0.02851672780474181,0.012974540507734337
C(dow)[T.5],0.08085198358604087,0.013585436656551538
C(dow)[T.6],0.022463326487519093,0.012493862175249159
C(is_hol)[T.True],0.073655083587558,0.014939895335816782
C(eve_hol)[T.True],0.06862899118498002,0.01715641352243829
trend,-0.0294330541514111,0.00633081422912684
occ_lag364,0.35968151235638574,0.023401131970040488
l_ago30,0.09050139817156479,0.006610908667245275
l_ago60,0.02664936215864283,0.0039738504995643935
l_ago90,0.016424867234864797,0.003231141839313224
pickup_60_30,0.06385203601292233,0.00801367425749677
pickup_90_60,0.010224494923777944,0.005682898960307141
