scenario,date,origin_store_ready_cases,feasible_cases,within_budget_cases,median_elapsed_minutes_feasible_only,max_elapsed_minutes_feasible_only
baseline,2026-09-15,170,112,26,214.0,344.0
baseline,2026-09-19,170,99,22,224.0,415.0
blue_plus_10,2026-09-15,170,113,23,216.0,314.0
blue_plus_10,2026-09-19,170,100,18,228.0,425.0
shopping_30,2026-09-15,170,112,26,214.0,344.0
shopping_30,2026-09-19,170,99,22,224.0,415.0
shopping_60,2026-09-15,170,112,24,214.0,344.0
shopping_60,2026-09-19,170,99,14,237.0,415.0
store_walk_10,2026-09-15,170,112,24,214.0,344.0
store_walk_10,2026-09-19,170,99,14,237.0,415.0
boarding_buffer_5,2026-09-15,170,112,25,214.0,344.0
boarding_buffer_5,2026-09-19,170,99,21,227.0,415.0
