scenario,date,origin,destination,ready,feasible,reason,out_trip,out_route,out_board_stop,out_board_sequence,out_departure,out_alight_stop,out_alight_sequence,out_arrival,shopping_start,shopping_end,back_trip,back_route,back_board_stop,back_board_sequence,back_departure,back_alight_stop,back_alight_sequence,back_arrival,origin_return,elapsed_minutes,initial_wait_minutes,store_open_wait_minutes,return_wait_minutes,bus_minutes,within_budget
baseline,2026-09-15,越前大野駅,kajiso_libre,08:00:00,True,,2+0+平日+1,2,1_1,24,08:12:00,21_2,28,08:16:00,09:30:00,10:15:00,1+1+平日+3,1,21_1,21,11:28:00,1_1,24,11:32:00,11:34:00,214.0,10.0,69.0,68.0,8.0,False
baseline,2026-09-15,越前大野駅,kajiso_libre,08:30:00,True,,2+0+平日+2,2,1_1,1,09:15:00,21_2,28,09:58:00,10:03:00,10:48:00,1+1+平日+3,1,21_1,21,11:28:00,1_1,24,11:32:00,11:34:00,184.0,43.0,0.0,35.0,47.0,False
baseline,2026-09-15,越前大野駅,kajiso_libre,09:00:00,True,,2+0+平日+2,2,1_1,1,09:15:00,21_2,28,09:58:00,10:03:00,10:48:00,1+1+平日+3,1,21_1,21,11:28:00,1_1,24,11:32:00,11:34:00,154.0,13.0,0.0,35.0,47.0,True
baseline,2026-09-15,越前大野駅,kajiso_libre,09:30:00,True,,2+0+平日+2,2,1_1,24,09:54:00,21_2,28,09:58:00,10:03:00,10:48:00,1+1+平日+3,1,21_1,21,11:28:00,1_1,24,11:32:00,11:34:00,124.0,22.0,0.0,35.0,8.0,True
baseline,2026-09-15,越前大野駅,kajiso_libre,10:00:00,True,,2+0+毎日+3,2,1_1,1,10:56:00,21_2,28,11:47:00,11:52:00,12:37:00,1+1+毎日+4,1,21_1,21,13:32:00,1_1,24,13:36:00,13:38:00,218.0,54.0,0.0,50.0,55.0,False
baseline,2026-09-15,越前大野駅,kajiso_libre,10:30:00,True,,2+0+毎日+3,2,1_1,1,10:56:00,21_2,28,11:47:00,11:52:00,12:37:00,1+1+毎日+4,1,21_1,21,13:32:00,1_1,24,13:36:00,13:38:00,188.0,24.0,0.0,50.0,55.0,False
baseline,2026-09-15,越前大野駅,kajiso_libre,11:00:00,True,,2+0+毎日+3,2,1_1,24,11:43:00,21_2,28,11:47:00,11:52:00,12:37:00,1+1+毎日+4,1,21_1,21,13:32:00,1_1,24,13:36:00,13:38:00,158.0,41.0,0.0,50.0,8.0,True
baseline,2026-09-15,越前大野駅,kajiso_libre,11:30:00,True,,2+0+毎日+3,2,1_1,24,11:43:00,21_2,28,11:47:00,11:52:00,12:37:00,1+1+毎日+4,1,21_1,21,13:32:00,1_1,24,13:36:00,13:38:00,128.0,11.0,0.0,50.0,8.0,True
baseline,2026-09-15,越前大野駅,kajiso_libre,12:00:00,True,,2+0+平日+4,2,1_1,1,13:00:00,21_2,28,13:54:00,13:59:00,14:44:00,1+1+平日+5,1,21_1,21,16:02:00,1_1,24,16:06:00,16:08:00,248.0,58.0,0.0,73.0,58.0,False
baseline,2026-09-15,越前大野駅,kajiso_libre,12:30:00,True,,2+0+平日+4,2,1_1,1,13:00:00,21_2,28,13:54:00,13:59:00,14:44:00,1+1+平日+5,1,21_1,21,16:02:00,1_1,24,16:06:00,16:08:00,218.0,28.0,0.0,73.0,58.0,False
