stop_id,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type
14_1,青少年教育センター,,35.9985825373703,136.495741593555,14_1,0
14_2,青少年教育センター,,35.99863027295,136.495994729436,14_2,0
17_1,陽明中学校口,,35.9939185443675,136.49943935274,17_1,0
17_2,陽明中学校口,,35.9937488389116,136.49935544456,17_2,0
19_1,さくら公園,,35.9899965162471,136.4962458384,19_1,0
19_2,さくら公園,,35.9901874264354,136.496115293065,19_2,0
1_1,越前大野駅,,35.9830251913899,136.496411942972,1_1,0
21_1,かじ惣リブレ店,,35.9870682572219,136.499988371847,21_1,0
21_2,かじ惣リブレ店,,35.987268604827,136.499779544267,21_2,0
22_1,わかくさ,,35.9847612017216,136.500404581672,22_1,0
22_2,わかくさ,,35.9847872361097,136.500230984889,22_2,0
25_0,ヴィオ,,35.9733231909715,136.479935756511,25_0,0
29_1,篠座,,35.9725693126791,136.49331889395,29_1,0
29_2,篠座,,35.9725872210112,136.493411430155,29_2,0
33_1,いなほこども園,,35.9734878700202,136.49614540444,33_1,0
33_2,いなほこども園,,35.973439029662,136.49603006946,33_2,0
39_1,童子丸郵便局口,,35.9853313957368,136.50256650945,39_1,0
39_2,童子丸郵便局口,,35.98542353943,136.502685810255,39_2,0
6_0,結ステーション,,35.9850053982919,136.487017124011,6_0,0
9_1,下庄小学校,,35.993049879153,136.488217846092,9_1,0
9_2,下庄小学校,,35.9932541224798,136.488191177964,9_2,0
