specification,hagibis_mask,placebo_code,pre_rmspe,opening_gap_log,late_gap_log
primary,event,05,0.11255091497731647,-0.29088880073171275,-0.06779713199421769
primary,event,06,0.08942036129297161,-0.05349624401484743,-0.17054739982502468
primary,event,08,0.056395357479537216,-0.0004915981934150437,0.01582083570079733
primary,event,09,0.07567404434918246,0.005362398781072919,-0.13175961361414115
primary,event,10,0.041895929399875624,-0.10408281331096436,-0.06765446554339513
primary,event,11,0.04458682696551555,-0.000229452792224194,0.20103641160714555
primary,event,12,0.04568096644773207,0.041218016458895335,0.10139309631037703
primary,event,13,0.7348387296583477,0.6784382635691966,0.5068006422946137
primary,event,14,0.03609060791770332,0.0076380265258988445,-0.08219042065752306
primary,event,18,0.09988154159483897,-0.04431708817732094,0.03638588346481373
primary,event,19,0.15431999152639864,0.023772815700004557,0.1411859435383429
primary,event,21,0.05213749705218891,0.06695976281944116,0.03661761542411096
primary,event,22,0.08439828277408618,-0.045154335216980535,-0.14901674161695325
primary,event,23,0.03583104417970593,0.04788953694331699,-0.03385852367929626
primary,event,24,0.06788346532068898,-0.017892182950890678,-0.11181711677634176
primary,event,25,0.05664949169977715,0.14816038655686636,-0.05686321810960392
primary,event,26,0.11270750413521427,-0.09895424149629495,0.09099195755040226
primary,event,27,0.058023436049408135,0.05941124471893211,0.26129401633871935
primary,event,28,0.036809596687387626,-0.007151162605198991,-0.11472695826393937
primary,event,29,0.2222059366322279,-0.0034474601435210417,0.04507777363369909
primary,event,30,0.07230376321938077,0.008392777555011222,0.048623206714931436
primary,event,31,0.08796465584304479,-0.16655345879999484,-0.09610073170602401
primary,event,32,0.07333003554366535,0.14965175376916484,0.033315273362588896
primary,event,35,0.04125351751852626,0.00910759135487993,-0.23667432097262217
primary,event,36,0.18848887104692827,-0.1322023657711222,-0.13513128400047505
primary,event,37,0.05508987534633908,0.11240189882606622,0.11613397955453957
primary,event,39,0.09144735527235216,-0.15996090157393628,-0.1627483809049226
primary,event,40,0.037965058931289535,-0.05630868135797318,0.042606349653754635
primary,event,41,0.10287535419817004,0.0941327183056675,-0.07417272132916237
primary,event,42,0.06179463512882993,0.13896474960260008,-0.10059810217150077
primary,event,44,0.06037724323491077,0.14484019385411084,0.08865458764874444
primary,event,45,0.11084304929591292,-0.1612794562668034,0.03993282407244027
primary,event,46,0.039484850166011234,-0.068210450203809,0.038255868713314566
primary,event,47,0.140632414561094,-0.035506816403191976,0.25267309065878896
pre_50_months,event,05,0.15576194258359818,-0.3321642515181189,-0.1128060206960972
pre_50_months,event,06,0.0835523473581932,-0.06815138147892341,-0.17260994350827003
pre_50_months,event,08,0.07823252167284953,0.014928387313140945,-0.0012841824476129452
pre_50_months,event,09,0.07487585927433459,0.015095239941463667,-0.12189072362051126
pre_50_months,event,10,0.06366984937863804,-0.08480006191190004,-0.08790569462018097
pre_50_months,event,11,0.050130449372670645,0.013054079834778243,0.19589750350704033
pre_50_months,event,12,0.10117617917279993,0.08845044361765098,0.10215159393289311
pre_50_months,event,13,0.7172472759629088,0.6784382635691966,0.5068006422946137
pre_50_months,event,14,0.048610884959830895,0.014125050292174812,-0.024787241007100932
pre_50_months,event,18,0.10304476139005124,-0.04345556531111949,0.03954922213902634
pre_50_months,event,19,0.1659552446900876,0.16797333843911577,0.15900118221309426
pre_50_months,event,21,0.05154543016313906,0.09087181871013161,0.10574996460161802
pre_50_months,event,22,0.09355634108398457,-0.04897850942666082,-0.14322464808448063
pre_50_months,event,23,0.03917147410838461,0.060046859183301216,-0.04134178491082537
pre_50_months,event,24,0.07444886396421817,-0.05143731543264085,-0.20454073094536557
pre_50_months,event,25,0.07499877846620293,0.12606715940713098,-0.04742912060453341
pre_50_months,event,26,0.1107078230395075,-0.09554900006239997,0.09453116247790884
