specification,hagibis_mask,target_code,donor_code,weight,positive_weight
primary,event,17,05,0.1163607851265292,True
primary,event,17,06,0.009825409862907438,True
primary,event,17,08,0.0,False
primary,event,17,09,0.010724650208861299,True
primary,event,17,10,0.18420249583375753,True
primary,event,17,11,0.0,False
primary,event,17,12,0.0,False
primary,event,17,13,0.08731865207484078,True
primary,event,17,14,0.0,False
primary,event,17,18,0.0,False
primary,event,17,19,0.02846204508386674,True
primary,event,17,21,0.05725339541701257,True
primary,event,17,22,0.08259977563040309,True
primary,event,17,23,0.0,False
primary,event,17,24,0.0,False
primary,event,17,25,0.0,False
primary,event,17,26,0.0,False
primary,event,17,27,0.0,False
primary,event,17,28,0.0,False
primary,event,17,29,0.008370971344650263,True
primary,event,17,30,0.0,False
primary,event,17,31,0.0,False
primary,event,17,32,0.0,False
primary,event,17,35,0.022146551104792064,True
primary,event,17,36,0.0,False
primary,event,17,37,0.07950412585533448,True
primary,event,17,39,0.0,False
primary,event,17,40,0.0,False
primary,event,17,41,0.021680337754569762,True
primary,event,17,42,0.0,False
primary,event,17,44,0.0,False
primary,event,17,45,0.10927784938479919,True
primary,event,17,46,0.18227295531767773,True
primary,event,17,47,0.0,False
primary,event,16,05,0.34319002532618476,True
primary,event,16,06,0.0,False
primary,event,16,08,0.0,False
primary,event,16,09,0.02944243273203182,True
primary,event,16,10,0.0,False
primary,event,16,11,0.0,False
primary,event,16,12,0.0,False
primary,event,16,13,0.0031010714970491045,True
primary,event,16,14,0.0,False
primary,event,16,18,0.0,False
primary,event,16,19,0.09279714262858305,True
primary,event,16,21,0.0,False
primary,event,16,22,0.00033514948339947255,True
primary,event,16,23,0.0,False
primary,event,16,24,0.0,False
primary,event,16,25,0.0,False
primary,event,16,26,0.0,False
primary,event,16,27,0.0,False
primary,event,16,28,0.0,False
primary,event,16,29,0.05267720907754773,True
primary,event,16,30,0.0,False
primary,event,16,31,0.4303151294571558,True
primary,event,16,32,0.0,False
primary,event,16,35,0.0,False
primary,event,16,36,0.0,False
primary,event,16,37,0.0,False
primary,event,16,39,0.04814183979804827,True
primary,event,16,40,0.0,False
primary,event,16,41,0.0,False
primary,event,16,42,0.0,False
primary,event,16,44,0.0,False
primary,event,16,45,0.0,False
primary,event,16,46,0.0,False
primary,event,16,47,0.0,False
pre_50_months,event,17,05,0.015487098780917037,True
pre_50_months,event,17,06,0.06609916973254443,True
pre_50_months,event,17,08,0.0,False
pre_50_months,event,17,09,0.033417555619435414,True
pre_50_months,event,17,10,0.05322147003042767,True
pre_50_months,event,17,11,0.0,False
pre_50_months,event,17,12,0.0,False
pre_50_months,event,17,13,0.07587906608905995,True
pre_50_months,event,17,14,0.0,False
pre_50_months,event,17,18,0.003926292540420313,True
pre_50_months,event,17,19,0.0,False
pre_50_months,event,17,21,0.03054609225179935,True
pre_50_months,event,17,22,0.1261164736934064,True
pre_50_months,event,17,23,0.0,False
pre_50_months,event,17,24,0.0,False
pre_50_months,event,17,25,0.0,False
pre_50_months,event,17,26,0.0,False
pre_50_months,event,17,27,0.0,False
pre_50_months,event,17,28,0.0,False
pre_50_months,event,17,29,0.002673302163650055,True
pre_50_months,event,17,30,0.0,False
pre_50_months,event,17,31,0.030261676449845034,True
pre_50_months,event,17,32,0.0,False
pre_50_months,event,17,35,0.32494174334114806,True
pre_50_months,event,17,36,0.002496753694315977,True
pre_50_months,event,17,37,0.0023514399993263217,True
pre_50_months,event,17,39,0.029045966856459538,True
pre_50_months,event,17,40,0.0,False
pre_50_months,event,17,41,0.0,False
pre_50_months,event,17,42,0.0,False
pre_50_months,event,17,44,0.0,False
pre_50_months,event,17,45,0.029402784220111618,True
pre_50_months,event,17,46,0.17413311453713357,True
pre_50_months,event,17,47,0.0,False
pre_50_months,event,16,05,0.31522740070654304,True
pre_50_months,event,16,06,0.0,False
pre_50_months,event,16,08,0.0,False
pre_50_months,event,16,09,0.07519962895269555,True
