specification,hagibis_mask,outcome,target_code,target,pre_start_ym,pre_end_ym,n_pre_months,n_donors,pre_rmspe,good_fit,opening_gap_log,opening_pct,opening_p_1s,opening_p_2s,post_mean_gap_log,late_gap_log,late_pct,late_p_1s,late_p_2s,first12_gap_log,decay_ratio,n_placebos_kept,p_floor,directional_only_floor,late_months_used
primary,event,total_stays,17,Ishikawa,201201,201502,38,34,0.04146991739298994,True,0.09723760855930141,10.212221618372318,0.18181818181818182,0.3939393939393939,0.11463217411960083,0.09994077969634628,10.510547145619341,0.21212121212121213,0.48484848484848486,0.12076435950897742,0.8275684987085685,32,0.030303030303030304,False,23
primary,event,total_stays,16,Toyama,201201,201502,38,34,0.08258152516484331,True,0.07860164189496555,8.177330306297193,0.20588235294117646,0.4117647058823529,0.0366940988005978,0.0031358461418238377,0.3140768050774678,0.5294117647058824,1.0,0.1035290738691949,0.030289521818632915,33,0.029411764705882353,False,23
pre_50_months,event,total_stays,17,Ishikawa,201101,201502,50,34,0.044502992186106746,True,0.06255489506594092,6.4552896015315,0.3333333333333333,0.6363636363636364,0.14186659560651124,0.16076713045337226,17.441145230582222,0.12121212121212122,0.24242424242424243,0.10906696269253861,1.474022256460714,32,0.030303030303030304,False,23
pre_50_months,event,total_stays,16,Toyama,201101,201502,50,34,0.08152140506478053,True,0.08108840322835942,8.446676269213093,0.29411764705882354,0.5294117647058824,0.04638430479821594,0.017513020587657257,1.7667272690426783,0.4117647058823529,0.8823529411764706,0.11170531271422031,0.15677876156581239,33,0.029411764705882353,False,23
strict_donors,event,total_stays,17,Ishikawa,201201,201502,38,20,0.044157641881377024,True,0.07166666634335339,7.429718496489945,0.21052631578947367,0.3157894736842105,0.10286990095172543,0.10169446659143411,10.704518076345426,0.21052631578947367,0.2631578947368421,0.10935145912452275,0.9299781402608508,18,0.05263157894736842,True,23
strict_donors,event,total_stays,16,Toyama,201201,201502,38,20,0.14052781194496058,True,-0.17274599120813772,-15.86487016684469,0.95,0.1,-0.08580099203257455,-0.10207258928419843,-9.703599622082294,0.9,0.3,-0.051939331601181284,1.9652272398876411,19,0.05,False,23
mask_2018_06_09,event,total_stays,17,Ishikawa,201201,201502,38,34,0.04146991739298994,True,0.09723760855930141,10.212221618372318,0.18181818181818182,0.3939393939393939,0.11463217411960083,0.10077018822714684,10.602243557801971,0.21212121212121213,0.5151515151515151,0.12076435950897742,0.8344364896801838,32,0.030303030303030304,False,19
mask_2018_06_09,event,total_stays,16,Toyama,201201,201502,38,34,0.08258152516484331,True,0.07860164189496555,8.177330306297193,0.20588235294117646,0.4117647058823529,0.0366940988005978,0.01043836452281713,1.0493034305230298,0.5294117647058824,1.0,0.1035290738691949,0.10082544093850981,33,0.029411764705882353,False,19
japanese_only,event,japanese_stays,17,Ishikawa,201201,201502,38,34,0.04526099528695341,True,0.07265488490547245,7.535935012353634,0.21212121212121213,0.42424242424242425,0.1344159579644159,0.13394820473834834,14.33335988480744,0.09090909090909091,0.15151515151515152,0.11916912891808096,1.124017654189843,32,0.030303030303030304,False,23
japanese_only,event,japanese_stays,16,Toyama,201201,201502,38,34,0.08466601160961106,True,0.06971908257426396,7.220693733117245,0.20588235294117646,0.4411764705882353,0.036017750688371666,-0.001465642941962309,-0.14645694118803343,0.47058823529411764,1.0,0.10859510437173725,-0.013496399772730035,33,0.029411764705882353,False,23
foreign_only,event,foreign_stays,17,Ishikawa,201201,201502,38,34,0.21424796171689756,False,-0.007725556013194357,-0.7695790606100261,0.6,1.0,0.04028566906826221,0.04843621702368889,4.962842126046607,0.42857142857142855,0.8857142857142857,-0.05558877528424796,-0.8713308896627936,34,0.02857142857142857,False,23
foreign_only,event,foreign_stays,16,Toyama,201201,201502,38,34,0.3423516513892828,False,-0.20295322625767476,-18.36835772933262,0.8285714285714286,0.34285714285714286,-0.19516933313184331,-0.27033618763405104,-23.68771012746784,0.8,0.34285714285714286,-0.18641825212544708,1.4501594374575124,34,0.02857142857142857,False,23
primary_hagibis_recovery,recovery,total_stays,17,Ishikawa,201201,201502,38,34,0.04146991739298994,True,0.09723760855930141,10.212221618372318,0.18181818181818182,0.3939393939393939,0.11463217411960083,0.09829335257611194,10.328638954565195,0.21212121212121213,0.45454545454545453,0.12076435950897742,0.8139268321859893,32,0.030303030303030304,False,21
primary_hagibis_recovery,recovery,total_stays,16,Toyama,201201,201502,38,34,0.08258152516484331,True,0.07860164189496555,8.177330306297193,0.20588235294117646,0.4117647058823529,0.0366940988005978,0.0004434586853305249,0.04435570276697387,0.5294117647058824,1.0,0.1035290738691949,0.004283421736108818,33,0.029411764705882353,False,21
pre_50_months_hagibis_recovery,recovery,total_stays,17,Ishikawa,201101,201502,50,34,0.044502992186106746,True,0.06255489506594092,6.4552896015315,0.3333333333333333,0.6363636363636364,0.14186659560651124,0.15619275784361789,16.90515252239475,0.15151515151515152,0.2727272727272727,0.10906696269253861,1.4320813011354097,32,0.030303030303030304,False,21
pre_50_months_hagibis_recovery,recovery,total_stays,16,Toyama,201101,201502,50,34,0.08152140506478053,True,0.08108840322835942,8.446676269213093,0.29411764705882354,0.5294117647058824,0.04638430479821594,0.016030140087884635,1.6159312075517906,0.38235294117647056,0.8529411764705882,0.11170531271422031,0.14350382894406388,33,0.029411764705882353,False,21
strict_donors_hagibis_recovery,recovery,total_stays,17,Ishikawa,201201,201502,38,20,0.044157641881377024,True,0.07166666634335339,7.429718496489945,0.21052631578947367,0.3157894736842105,0.10286990095172543,0.10144821892414801,10.67726070318109,0.21052631578947367,0.2631578947368421,0.10935145912452275,0.9277262483404541,18,0.05263157894736842,True,21
strict_donors_hagibis_recovery,recovery,total_stays,16,Toyama,201201,201502,38,20,0.14052781194496058,True,-0.17274599120813772,-15.86487016684469,0.95,0.1,-0.08580099203257455,-0.09868332844660681,-9.397042360699837,0.9,0.35,-0.051939331601181284,1.8999730147540521,19,0.05,False,21
mask_2018_06_09_hagibis_recovery,recovery,total_stays,17,Ishikawa,201201,201502,38,34,0.04146991739298994,True,0.09723760855930141,10.212221618372318,0.18181818181818182,0.3939393939393939,0.11463217411960083,0.09883270867048095,10.388161428830456,0.21212121212121213,0.48484848484848486,0.12076435950897742,0.8183930182077759,32,0.030303030303030304,False,17
mask_2018_06_09_hagibis_recovery,recovery,total_stays,16,Toyama,201201,201502,38,34,0.08258152516484331,True,0.07860164189496555,8.177330306297193,0.20588235294117646,0.4117647058823529,0.0366940988005978,0.007971593944912836,0.8003451696011687,0.5294117647058824,1.0,0.1035290738691949,0.07699860190949498,33,0.029411764705882353,False,17
japanese_only_hagibis_recovery,recovery,japanese_stays,17,Ishikawa,201201,201502,38,34,0.04526099528695341,True,0.07265488490547245,7.535935012353634,0.21212121212121213,0.42424242424242425,0.1344159579644159,0.13104377969470687,14.0017689845914,0.09090909090909091,0.15151515151515152,0.11916912891808096,1.099645360207246,32,0.030303030303030304,False,21
japanese_only_hagibis_recovery,recovery,japanese_stays,16,Toyama,201201,201502,38,34,0.08466601160961106,True,0.06971908257426396,7.220693733117245,0.20588235294117646,0.4411764705882353,0.036017750688371666,-0.005476192202005406,-0.546122519468828,0.47058823529411764,1.0,0.10859510437173725,-0.050427615809084565,33,0.029411764705882353,False,21
foreign_only_hagibis_recovery,recovery,foreign_stays,17,Ishikawa,201201,201502,38,34,0.21424796171689756,False,-0.007725556013194357,-0.7695790606100261,0.6,1.0,0.04028566906826221,0.05567220716179942,5.725106760243159,0.42857142857142855,0.8571428571428571,-0.05558877528424796,-1.0015008763392401,34,0.02857142857142857,False,21
foreign_only_hagibis_recovery,recovery,foreign_stays,16,Toyama,201201,201502,38,34,0.3423516513892828,False,-0.20295322625767476,-18.36835772933262,0.8285714285714286,0.34285714285714286,-0.19516933313184331,-0.26147813694354083,-23.008729211466306,0.8,0.3142857142857143,-0.18641825212544708,1.4026423591161206,34,0.02857142857142857,False,21
