anchor_series,ym,year,month,value,unit,same_month_2014_index
kanazawa_lodging_guests,201401,2014,1,176459,persons,100.0
kanazawa_lodging_guests,201402,2014,2,182820,persons,100.0
kanazawa_lodging_guests,201403,2014,3,228061,persons,100.0
kanazawa_lodging_guests,201404,2014,4,230131,persons,100.0
kanazawa_lodging_guests,201405,2014,5,250937,persons,100.0
kanazawa_lodging_guests,201406,2014,6,200665,persons,100.0
kanazawa_lodging_guests,201407,2014,7,208997,persons,100.0
kanazawa_lodging_guests,201408,2014,8,274973,persons,100.0
kanazawa_lodging_guests,201409,2014,9,234103,persons,100.0
kanazawa_lodging_guests,201410,2014,10,234305,persons,100.0
kanazawa_lodging_guests,201411,2014,11,237791,persons,100.0
kanazawa_lodging_guests,201412,2014,12,197346,persons,100.0
kanazawa_lodging_guests,201501,2015,1,164337,persons,93.13041556395537
kanazawa_lodging_guests,201502,2015,2,187954,persons,102.80822667104255
kanazawa_lodging_guests,201503,2015,3,247035,persons,108.31970393885845
kanazawa_lodging_guests,201504,2015,4,240940,persons,104.69689003219904
kanazawa_lodging_guests,201505,2015,5,262742,persons,104.7043680286287
kanazawa_lodging_guests,201506,2015,6,233475,persons,116.35063414147957
kanazawa_lodging_guests,201507,2015,7,222013,persons,106.22784059101326
kanazawa_lodging_guests,201508,2015,8,301251,persons,109.55657464551065
kanazawa_lodging_guests,201509,2015,9,242062,persons,103.39978556447376
kanazawa_lodging_guests,201510,2015,10,249723,persons,106.5803119865133
kanazawa_lodging_guests,201511,2015,11,250455,persons,105.3256851604981
kanazawa_lodging_guests,201512,2015,12,215000,persons,108.94570956594004
kanazawa_lodging_guests,201601,2016,1,198662,persons,112.58252625255724
kanazawa_lodging_guests,201602,2016,2,229910,persons,125.75757575757575
kanazawa_lodging_guests,201603,2016,3,262249,persons,114.99072616536803
kanazawa_lodging_guests,201604,2016,4,254219,persons,110.46708179254425
kanazawa_lodging_guests,201605,2016,5,263295,persons,104.92474206673388
kanazawa_lodging_guests,201606,2016,6,222298,persons,110.78065432437147
kanazawa_lodging_guests,201607,2016,7,254218,persons,121.6371526864022
kanazawa_lodging_guests,201608,2016,8,325711,persons,118.45199346844963
kanazawa_lodging_guests,201609,2016,9,278167,persons,118.82248412023768
kanazawa_lodging_guests,201610,2016,10,288523,persons,123.13992445743796
kanazawa_lodging_guests,201611,2016,11,274064,persons,115.25415175511269
kanazawa_lodging_guests,201612,2016,12,233538,persons,118.33936335167674
kanazawa_lodging_guests,201701,2017,1,210594,persons,119.34443695135981
kanazawa_lodging_guests,201702,2017,2,223982,persons,122.51504211793021
kanazawa_lodging_guests,201703,2017,3,289052,persons,126.74328359517848
kanazawa_lodging_guests,201704,2017,4,272439,persons,118.38431154429433
