ym,year,month,value,unit,series,source_report_year,source_pdf,source_pdf_page,source_printed_page,source_table_ja
201401,2014,1,308403,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201402,2014,2,309493,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201403,2014,3,403516,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201404,2014,4,1062386,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201405,2014,5,579443,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201406,2014,6,414995,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201407,2014,7,364371,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201408,2014,8,655362,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201409,2014,9,449584,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201410,2014,10,583248,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201411,2014,11,592497,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201412,2014,12,255885,person_visits,facility_aggregate,2018,kanazawa_tourism_survey_2018.pdf,90,89,主要観光施設（19施設計）の月別利用者数の推移
201501,2015,1,278127,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201502,2015,2,358325,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201503,2015,3,684942,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201504,2015,4,1221738,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201505,2015,5,1031536,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201506,2015,6,683797,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201507,2015,7,604033,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201508,2015,8,945433,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201509,2015,9,872324,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201510,2015,10,895153,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201511,2015,11,939480,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201512,2015,12,517698,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201601,2016,1,538271,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201602,2016,2,583406,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201603,2016,3,792901,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201604,2016,4,1300487,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201605,2016,5,931590,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201606,2016,6,639879,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201607,2016,7,597923,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201608,2016,8,962892,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201609,2016,9,819919,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201610,2016,10,954964,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201611,2016,11,852707,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201612,2016,12,516121,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201701,2017,1,516622,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201702,2017,2,519086,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201703,2017,3,786665,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201704,2017,4,1320370,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201705,2017,5,907449,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201706,2017,6,609206,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201707,2017,7,553917,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201708,2017,8,971710,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201709,2017,9,724446,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201710,2017,10,786363,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201711,2017,11,841178,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201712,2017,12,494497,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201801,2018,1,467498,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201802,2018,2,475792,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201803,2018,3,815004,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201804,2018,4,1181118,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201805,2018,5,880457,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201806,2018,6,652562,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201807,2018,7,601668,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201808,2018,8,962494,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201809,2018,9,733436,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201810,2018,10,815739,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201811,2018,11,935144,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
