ym,year,month,value,unit,series,source_report_year,source_pdf,source_pdf_page,source_printed_page,source_table_ja
201401,2014,1,176459,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201402,2014,2,182820,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201403,2014,3,228061,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201404,2014,4,230131,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201405,2014,5,250937,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201406,2014,6,200665,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201407,2014,7,208997,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201408,2014,8,274973,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201409,2014,9,234103,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201410,2014,10,234305,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201411,2014,11,237791,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201412,2014,12,197346,persons,lodging_guests,2018,kanazawa_tourism_survey_2018.pdf,97,96,月別宿泊客数
201501,2015,1,164337,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201502,2015,2,187954,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201503,2015,3,247035,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201504,2015,4,240940,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201505,2015,5,262742,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201506,2015,6,233475,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201507,2015,7,222013,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201508,2015,8,301251,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201509,2015,9,242062,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201510,2015,10,249723,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201511,2015,11,250455,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201512,2015,12,215000,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201601,2016,1,198662,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201602,2016,2,229910,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201603,2016,3,262249,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201604,2016,4,254219,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201605,2016,5,263295,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201606,2016,6,222298,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201607,2016,7,254218,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201608,2016,8,325711,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201609,2016,9,278167,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201610,2016,10,288523,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201611,2016,11,274064,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201612,2016,12,233538,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201701,2017,1,210594,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201702,2017,2,223982,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201703,2017,3,289052,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201704,2017,4,272439,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201705,2017,5,285309,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201706,2017,6,234003,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201707,2017,7,254611,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201708,2017,8,332231,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201709,2017,9,279698,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201710,2017,10,285924,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201711,2017,11,284956,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201712,2017,12,240705,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201801,2018,1,210687,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201802,2018,2,223295,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201803,2018,3,284570,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201804,2018,4,281693,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201805,2018,5,287287,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201806,2018,6,240408,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201807,2018,7,255022,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201808,2018,8,353279,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201809,2018,9,306188,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201810,2018,10,303869,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201811,2018,11,303843,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201812,2018,12,254949,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201901,2019,1,218105,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201902,2019,2,245310,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201903,2019,3,303779,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201904,2019,4,315315,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201905,2019,5,312586,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201906,2019,6,253069,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201907,2019,7,260717,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201908,2019,8,350660,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201909,2019,9,297376,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
201910,2019,10,292954,persons,lodging_guests,2019,kanazawa_tourism_survey_2019.pdf,109,108,月別宿泊客数
