ym,year,month,value,unit,series,source_report_year,source_pdf,source_pdf_page,source_printed_page,source_table_ja
201701,2017,1,179583,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201702,2017,2,160703,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201703,2017,3,227075,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201704,2017,4,598921,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201705,2017,5,266233,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201706,2017,6,167729,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201707,2017,7,136578,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201708,2017,8,244778,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201709,2017,9,186674,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201710,2017,10,212078,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201711,2017,11,264591,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201712,2017,12,151929,person_visits,kenrokuen,2018,kanazawa_tourism_survey_2018.pdf,92,91,主要観光施設 利用者数集計
201801,2018,1,155930,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201802,2018,2,159540,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201803,2018,3,254655,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201804,2018,4,502643,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201805,2018,5,247475,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201806,2018,6,176930,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201807,2018,7,128644,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201808,2018,8,237205,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201809,2018,9,192425,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201810,2018,10,213809,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201811,2018,11,319398,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201812,2018,12,161451,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201901,2019,1,165146,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201902,2019,2,194824,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201903,2019,3,208223,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201904,2019,4,557178,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201905,2019,5,274007,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201906,2019,6,166338,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201907,2019,7,144091,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201908,2019,8,235279,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201909,2019,9,192505,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201910,2019,10,176765,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201911,2019,11,293475,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
201912,2019,12,146243,person_visits,kenrokuen,2019,kanazawa_tourism_survey_2019.pdf,104,103,主要観光施設 利用者数集計
