pref_code,pref_name,year,month,total_stays,foreign_stays_10plus,vintage,frame_basis
01,北海道,2018,1,3017390.0,902480.0,confirmed,employee_count
02,青森県,2018,1,338500.0,20260.0,confirmed,employee_count
03,岩手県,2018,1,467650.0,23390.0,confirmed,employee_count
04,宮城県,2018,1,713960.0,21590.0,confirmed,employee_count
05,秋田県,2018,1,207170.0,7580.0,confirmed,employee_count
06,山形県,2018,1,374670.0,18970.0,confirmed,employee_count
07,福島県,2018,1,821250.0,9010.0,confirmed,employee_count
08,茨城県,2018,1,394690.0,10980.0,confirmed,employee_count
09,栃木県,2018,1,600860.0,14840.0,confirmed,employee_count
10,群馬県,2018,1,626210.0,21470.0,confirmed,employee_count
11,埼玉県,2018,1,375550.0,9860.0,confirmed,employee_count
12,千葉県,2018,1,1787990.0,255380.0,confirmed,employee_count
13,東京都,2018,1,4599590.0,1406300.0,confirmed,employee_count
14,神奈川県,2018,1,1589940.0,149910.0,confirmed,employee_count
15,新潟県,2018,1,816340.0,39160.0,confirmed,employee_count
16,富山県,2018,1,229760.0,11290.0,confirmed,employee_count
17,石川県,2018,1,581440.0,58920.0,confirmed,employee_count
18,福井県,2018,1,249600.0,3940.0,confirmed,employee_count
19,山梨県,2018,1,468450.0,93240.0,confirmed,employee_count
20,長野県,2018,1,1556880.0,142270.0,confirmed,employee_count
21,岐阜県,2018,1,514260.0,82690.0,confirmed,employee_count
22,静岡県,2018,1,1619930.0,94080.0,confirmed,employee_count
23,愛知県,2018,1,1254880.0,187230.0,confirmed,employee_count
24,三重県,2018,1,649650.0,17180.0,confirmed,employee_count
25,滋賀県,2018,1,258930.0,25590.0,confirmed,employee_count
26,京都府,2018,1,1293740.0,295830.0,confirmed,employee_count
27,大阪府,2018,1,2718390.0,939510.0,confirmed,employee_count
28,兵庫県,2018,1,991780.0,77890.0,confirmed,employee_count
29,奈良県,2018,1,142880.0,18080.0,confirmed,employee_count
30,和歌山県,2018,1,336850.0,18200.0,confirmed,employee_count
31,鳥取県,2018,1,208280.0,10290.0,confirmed,employee_count
32,島根県,2018,1,187860.0,3330.0,confirmed,employee_count
33,岡山県,2018,1,366630.0,29730.0,confirmed,employee_count
